Date,Product_Name,Actual_Sales
2025-11-13,Salmon Egg Bagel,0
2025-11-14,Salmon Egg Bagel,0
2025-11-15,Salmon Egg Bagel,0
2025-11-16,Salmon Egg Bagel,0
2025-11-17,Salmon Egg Bagel,0
2025-11-18,Salmon Egg Bagel,0
2025-11-19,Salmon Egg Bagel,0
2025-11-20,Salmon Egg Bagel,0
2025-11-21,Salmon Egg Bagel,0
2025-11-22,Salmon Egg Bagel,0
2025-11-23,Salmon Egg Bagel,0
2025-11-24,Salmon Egg Bagel,0
2025-11-25,Salmon Egg Bagel,0
2025-11-26,Salmon Egg Bagel,0
2025-11-27,Salmon Egg Bagel,0
2025-11-28,Salmon Egg Bagel,0
2025-11-29,Salmon Egg Bagel,0
2025-11-30,Salmon Egg Bagel,0
2025-11-01,Sauces,0
2025-11-02,Sauces,0
2025-11-03,Sauces,0
2025-11-04,Sauces,0
2025-11-05,Sauces,0
2025-11-06,Sauces,0
2025-11-07,Sauces,0
2025-11-08,Sauces,0
2025-11-09,Sauces,0
2025-11-10,Sauces,0
2025-11-11,Sauces,0
2025-11-12,Sauces,0
2025-11-13,Sauces,0
2025-11-14,Sauces,0
2025-11-15,Sauces,0
2025-11-16,Sauces,0
2025-11-17,Sauces,0
2025-11-18,Sauces,0
2025-11-19,Sauces,0
2025-11-20,Sauces,0
2025-11-21,Sauces,0
2025-11-22,Sauces,0
2025-11-23,Sauces,0
2025-11-24,Sauces,0
2025-11-25,Sauces,0
2025-11-26,Sauces,0
2025-11-27,Sauces,0
2025-11-28,Sauces,0
2025-11-29,Sauces,0
2025-11-30,Sauces,0
2025-11-01,Sausage,15
2025-11-02,Sausage,5
2025-11-03,Sausage,6
2025-11-04,Sausage,3
2025-11-05,Sausage,4
2025-11-06,Sausage,3
2025-11-07,Sausage,12
2025-11-08,Sausage,12
2025-11-09,Sausage,13
2025-11-10,Sausage,4
2025-11-11,Sausage,4
2025-11-12,Sausage,2
2025-11-13,Sausage,11
2025-11-14,Sausage,1
2025-11-15,Sausage,8
2025-11-16,Sausage,14
2025-11-17,Sausage,5
2025-11-18,Sausage,0
2025-11-19,Sausage,3
2025-11-20,Sausage,7
2025-11-21,Sausage,5
2025-11-22,Sausage,11
2025-11-23,Sausage,6
2025-11-24,Sausage,6
2025-11-25,Sausage,3
2025-11-26,Sausage,5
2025-11-27,Sausage,6
2025-11-28,Sausage,5
2025-11-29,Sausage,5
2025-11-30,Sausage,18
2025-11-01,Sausage Bap,22
2025-11-02,Sausage Bap,17
2025-11-03,Sausage Bap,11
2025-11-04,Sausage Bap,14
2025-11-05,Sausage Bap,4
2025-11-06,Sausage Bap,8
2025-11-07,Sausage Bap,7
2025-11-08,Sausage Bap,22
2025-11-09,Sausage Bap,13
2025-11-10,Sausage Bap,6
2025-11-11,Sausage Bap,7
2025-11-12,Sausage Bap,8
2025-11-13,Sausage Bap,7
2025-11-14,Sausage Bap,15
2025-11-15,Sausage Bap,18
2025-11-16,Sausage Bap,14
2025-11-17,Sausage Bap,12
2025-11-18,Sausage Bap,12
2025-11-19,Sausage Bap,7
2025-11-20,Sausage Bap,14
2025-11-21,Sausage Bap,14
2025-11-22,Sausage Bap,12
2025-11-23,Sausage Bap,17
2025-11-24,Sausage Bap,15
2025-11-25,Sausage Bap,11
2025-11-26,Sausage Bap,14
2025-11-27,Sausage Bap,14
2025-11-28,Sausage Bap,10
2025-11-29,Sausage Bap,16
2025-11-30,Sausage Bap,12
2025-11-01,Scampi & Chips,4
2025-11-02,Scampi & Chips,3
2025-11-03,Scampi & Chips,2
2025-11-04,Scampi & Chips,2
2025-11-05,Scampi & Chips,4
2025-11-06,Scampi & Chips,3
2025-11-07,Scampi & Chips,8
2025-11-08,Scampi & Chips,5
2025-11-09,Scampi & Chips,6
2025-11-10,Scampi & Chips,5
2025-11-11,Scampi & Chips,6
2025-11-12,Scampi & Chips,1
2025-11-13,Scampi & Chips,4
2025-11-14,Scampi & Chips,7
2025-11-15,Scampi & Chips,6
2025-11-16,Scampi & Chips,2
2025-11-17,Scampi & Chips,4
2025-11-18,Scampi & Chips,0
2025-11-19,Scampi & Chips,2
2025-11-20,Scampi & Chips,2
2025-11-21,Scampi & Chips,6
2025-11-22,Scampi & Chips,4
2025-11-23,Scampi & Chips,3
2025-11-24,Scampi & Chips,4
2025-11-25,Scampi & Chips,6
2025-11-26,Scampi & Chips,3
2025-11-27,Scampi & Chips,4
2025-11-28,Scampi & Chips,2
2025-11-29,Scampi & Chips,7
2025-11-30,Scampi & Chips,4
2025-11-01,Scrambled Egg,2
2025-11-02,Scrambled Egg,2
2025-11-03,Scrambled Egg,3
2025-11-04,Scrambled Egg,1
2025-11-05,Scrambled Egg,2
2025-11-06,Scrambled Egg,6
2025-11-07,Scrambled Egg,1
2025-11-08,Scrambled Egg,1
2025-11-09,Scrambled Egg,3
2025-11-10,Scrambled Egg,0
2025-11-11,Scrambled Egg,3
2025-11-12,Scrambled Egg,0
2025-11-13,Scrambled Egg,0
2025-11-14,Scrambled Egg,3
2025-11-15,Scrambled Egg,0
2025-11-16,Scrambled Egg,2
2025-11-17,Scrambled Egg,0
2025-11-18,Scrambled Egg,0
2025-11-19,Scrambled Egg,0
2025-11-20,Scrambled Egg,0
2025-11-21,Scrambled Egg,1
2025-11-22,Scrambled Egg,0
2025-11-23,Scrambled Egg,2
2025-11-24,Scrambled Egg,0
2025-11-25,Scrambled Egg,7
2025-11-26,Scrambled Egg,0
2025-11-27,Scrambled Egg,1
